pais,lectura_6,matematicas_6,ciencias_6,lectura_3,matematicas_3,concentracion_10,gasto_educacion_total_gasto,gasto_primaria_total_gasto_educ,_gasto_primaria_PIB,tasa_alfabetizacion
ar,697.64,689.74,681.81,688.51,689.73,0.31,  13.3 ,  30 ,  15.0 ,0.99
bo,,,,,,0.31,    ,    ,    ,
br,734.44,732.98,718.46,747.75,743.78,0.42,  16.5 ,  26 ,  20.1 ,0.93
cl,,,,,,,  21.3 ,  28 ,  18.4 ,0.96
co,719.31,706.80,710.66,715.57,704.84,0.40,  16.0 ,  33 ,  17.0 ,0.95
cr,757.26,725.99,757.65,747.56,725.16,0.37,  26.1 ,  29 ,  20.8 ,0.98
cu,737.93,689.01,779.13,730.49,750.55,,    ,  29 ,  49.1 ,
ec,643.95,635.88,649.21,623.93,623.90,0.35,  12.6 ,  23 ,  9.5 ,0.93
sv,684.25,719.80,720.12,699.02,709.22,0.30,  14.9 ,  46 ,  16.1 ,0.88
gt,698.77,675.89,705.13,696.76,690.57,,  24.2 ,  56 ,  11.9 ,
hn,645.27,657.28,660.77,655.56,661.87,0.35,  23.0 ,  49 ,  21.4 ,0.87
mx,661.25,682.35,674.01,674.54,701.94,,  17.6 ,  32 ,  13.8 ,0.95
ni,725.56,757.94,726.06,713.14,722.27,,  17.9 ,  40 ,  11.3 ,
pa,654.14,663.22,669.35,645.89,662.50,0.38,  13.0 ,  23 ,  6.3 ,0.95
py,651.62,644.61,672.03,659.12,654.03,0.35,  18.2 ,  36 ,  11.7 ,0.94
pe,657.16,647.36,657.48,675.25,665.75,0.31,  17.5 ,  34 ,  11.2 ,0.94
do,741.22,759.30,723.00,753.08,740.29,0.33,  12.6 ,  59 ,  16.2 ,
uy,734.05,759.47,731.44,722.73,721.87,0.30,  15.2 ,  23 ,  12.6 ,0.99